"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"LBXBPB",2.27530802461442e-07,5.77196490115795e-08,0,7.44898536804478e-09,0,1.22813342786709e-06,-5.1957110222076e-08,0,0,0,-5.50607505744986e-08,-1.15999294174945e-07,-4.12348331488973e-10,1.50598229687095e-08,-1.51100589429292e-08,4.01300352877003e-08,8.83982334390288e-10,8.2212631169015e-07,0,2.31977961047595e-07,7.97348732511495e-08,2.06328267647961e-06,-3.29178461498505e-07,-4.66046541612364e-07,0,-1.02042846279958e-08,9.25829665309016e-06,4.99111960700005e-06,0,-2.9113580972995e-07,0,0,2.80090633955275e-09,0,-5.63692400682235e-07,0,-3.91482953830518e-07,0,0,-1.14384332366713e-07,0,1.88470035601745e-08,0,0,3.58457588526687e-06,0,-1.72769375446791e-07,-3.96764614868432e-09,-2.08834742409385e-08,-2.64693082620158e-06,1.13897702911663e-05
"LBXBCD",3.64590332695465e-07,3.20961045374773e-06,0,0,-1.3022146614374e-07,1.01785210564871e-06,-3.42355739131805e-07,0,-6.80441559389838e-10,5.89751060704626e-06,-1.19985223779066e-07,0,0,0,0,0,0,0,-9.28888510709501e-06,0,-1.81050849550334e-06,-2.11377723088011e-07,-1.90570634370068e-07,-1.92134800800024e-07,0,0,-1.69562462124249e-06,-1.6627011824608e-07,0,-7.38322805956343e-08,0,5.08699039668311e-08,0,0,8.83291289586392e-08,1.56690970734186e-06,2.13227010932214e-08,-2.64382141642229e-08,0,-1.39127922610532e-07,1.25715794432677e-06,0,0,5.17112165172846e-07,0,-6.29550336106563e-08,0,0,2.78309543121102e-08,1.83920862224613e-07,1.09633872213351e-05
"LBXTHG",6.78568496822476e-08,0,-5.59406112604008e-07,-1.19932579247075e-07,0,0,0,-5.78776727555593e-09,0,2.59880855551107e-07,1.68333449352202e-09,1.63825843655756e-07,1.14212877550145e-06,-5.01588273461638e-09,4.91381134785462e-07,1.3642623237079e-07,1.34292410141313e-06,-4.67392408869908e-09,-2.02259041449402e-07,8.8882371838138e-07,0,0,0,0,3.42762750989204e-09,-6.20909536234735e-08,0,0,-8.60319732302213e-08,0,0,-1.37868988040556e-07,0,-4.66350717418233e-08,0,0,-8.34702739979859e-06,-3.80499567259076e-06,5.85356438067335e-06,0,-2.55857641117328e-09,-2.13435608993304e-08,-2.88857962269476e-08,0,-3.07880476279649e-09,-2.08930325233754e-08,0,0,3.9577249520866e-07,0,0
"LBXBSE",0,1.15196303767514e-07,0,0,0,-2.53366070091183e-08,1.49159259535842e-07,0,-2.12476712520987e-08,0,0,0,2.56733842459303e-08,0,7.47559248651547e-08,0,0,2.58097016160298e-07,0,0,0,-1.34861506019008e-08,0,2.06476271949125e-08,-5.49027827805183e-06,7.08085901874452e-06,1.0833063532857e-08,-3.91642225231824e-09,1.17176071718277e-05,5.82089202137097e-08,1.85453917173238e-07,0,0,-1.46428397742851e-07,-2.17944586386332e-06,2.0148369056165e-08,0,0,-8.07852126519577e-08,1.59722254967379e-07,1.47430685541863e-07,0,1.05573729281126e-07,-7.14622624888279e-08,0,-1.01303339716202e-07,0,2.71736178596401e-08,0,0,0
"LBXBMN",0,0,-2.42231635799582e-08,0,-3.20543080122339e-08,0,-7.03653051912299e-09,5.38968016867041e-09,0,6.50282074531707e-08,0,0,0,2.85304124740409e-09,0,3.22483866312255e-09,0,-3.24688459426855e-08,1.11194936078245e-09,0,-2.6200900875205e-08,0,7.61451461986715e-08,1.69681776919241e-07,-6.13588852372442e-08,0,0,0,-4.54898914186013e-09,0,1.10069135919315e-07,0,1.09034753164419e-07,-7.23597590036257e-08,2.68095985528413e-07,3.88039741880654e-08,0,0,0,0,1.37681153509977e-05,-1.20151124189813e-05,0,4.84329550114527e-08,0,0,-1.55188237474315e-08,6.98436025415917e-08,0,-4.00091176309139e-08,1.28507298093917e-07
"LBXIHG",0,0,-1.88589528136108e-07,-7.39634434881898e-08,-1.46318323327184e-06,-3.05514035386485e-06,0,-7.39144698716198e-08,1.53184977486078e-08,0,0,3.50280365298988e-09,0,0,0,0,3.02419349977939e-07,0,0,0,0,-1.06170022906147e-08,0,0,6.6327934434824e-08,0,6.95624615762421e-08,0,0,0,6.0290775707283e-09,-1.03461354452196e-09,1.7000510261472e-07,-1.0396717488676e-07,0,0,0,-1.74734186999373e-06,-3.94763948235362e-08,0,0,0,0,0,2.75967976134887e-08,0,2.65533244068569e-08,-1.05894429506774e-07,0,0,2.34806444619734e-08
"LBXBGE",0,6.2613234734234e-07,0,0,0,0,0,-3.82877336146301e-09,1.19883554703526e-06,0,0,0,0,0,0,0,0,0,0,-3.09390381700214e-09,-5.15313580562402e-07,0,0,0,0,0,0,0,0,0,8.17605560324308e-08,0,-3.40429436578163e-08,0,0,2.27442138047882e-07,0,0,0,0,0,0,-3.59375979828808e-08,0,0,0,0,0,0,0,0
"LBXBGM",6.33671497484555e-08,0,-6.05333468751502e-07,-9.02643066049097e-08,-1.42627430020128e-08,0,0,0,0,2.66418649403292e-07,4.42416836177147e-08,2.1354618779051e-07,1.1734060046401e-06,-4.33353564149979e-08,4.96816669063247e-07,1.37441256575636e-07,1.44601372171699e-06,0,-2.0361050508439e-07,1.40875508828366e-07,0,0,-2.34261085519869e-08,0,0,-1.0251991691343e-07,0,-1.1365811622749e-08,-1.04459711157043e-08,1.25041287935084e-08,0,-1.38337515258645e-07,0,0,0,0,-9.06111470291885e-06,-3.48221801674614e-06,5.10359862757389e-06,1.59721114527035e-08,0,-8.07126903561067e-08,-2.51923840714068e-08,6.01261357274115e-09,-3.39872418539766e-08,-6.28049502307794e-09,-5.87217397394675e-08,0,4.84361802040734e-07,1.91368210151505e-08,0
