"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"ridageyr",5.90164217709455e-07,0,-5.12875895343329e-09,1.28914158881287e-06,-4.90201626409802e-08,1.09920183488876e-07,0,0,0,3.7784555723818e-08,1.52855668475465e-07,-2.19861922700498e-08,0,0,0,3.612103603262e-09,0,1.83028590133856e-08,-1.5912694315674e-08,0,3.19646707241802e-08,2.0896742822241e-07,2.09832796756124e-08,0,2.11275965614766e-08,1.01720375919856e-07,0,4.06882607205805e-08,-3.35373419580358e-09,0,1.88963243920013e-06,6.33475591011524e-08,2.32633378614136e-07,6.45468559905977e-09,0,0,0,0,0,0,5.30933702055199e-08,0,-4.18867385310704e-08,0,0,2.21168722374257e-06,-2.85245604223773e-08,0,0,3.63203051953391e-08,5.81208510223754e-09
"dmdeduc2",0,2.14735668413306e-08,0,0,-8.65386541512864e-10,0,7.81000671272337e-08,6.51672254950187e-09,8.83168158697157e-09,0,1.7314530776584e-08,0,1.02408041340613e-08,0,1.56229227912688e-07,4.01770689685975e-08,0,0,0,0,2.41760889341593e-09,0,0,1.58407912620277e-08,0,5.04204803864062e-09,0,7.18736730701139e-08,0,3.85624686009371e-08,0,6.93067038585869e-08,0,3.89404748246774e-09,3.21300061333324e-08,7.71038631656071e-08,1.50383770632159e-08,-2.42534370013543e-08,5.06247255428227e-08,0,4.03769005333516e-08,9.6535880594948e-09,0,5.38392329289626e-08,3.27828613688684e-07,1.01179042367902e-08,-4.64092147416351e-05,-1.85028721557214e-07,1.34906215023252e-07,5.04953141545088e-09,5.21564187849771e-08
"INDFMPIR",0,0,0,0,0,9.13495042589185e-10,6.6234744385742e-08,8.25397406573944e-07,5.22225010283384e-08,0,2.07746263763213e-08,0,3.66459754698095e-08,1.37820016154326e-07,1.78092316426243e-07,0,0,0,0,0,0,0,0,0,0,0,0,9.55506017242003e-08,-1.08941148389461e-07,9.97935273908437e-09,0,1.78675335313181e-08,1.27390585027441e-08,0,8.84313389863383e-09,1.16725278029141e-07,0,-4.41539437011078e-08,2.33603117842772e-09,0,0,4.78211872598425e-08,0,1.65372495537607e-08,2.31910095564413e-07,0,-8.33558113976327e-05,-1.86554818322588e-07,2.12930266297766e-07,6.11306663459027e-08,0
"riagendr_1",2.11314287167849e-06,1.07013760531828e-05,0,4.06009902376682e-06,0,0,0,1.16558655049332e-06,0,2.33012995746879e-07,0,-4.53952039154994e-08,2.07897535089217e-06,0,7.96474417720769e-09,1.75830573927368e-07,3.26604862186205e-07,3.69511764923846e-08,-1.25852130905663e-07,1.40355992654316e-06,3.95255283506628e-08,2.43346415402914e-07,0,3.06099830608608e-08,0,0,9.22469312842592e-08,0,-7.1655674030356e-08,0,0,0,5.0458089254821e-07,0,1.57634148463108e-07,1.43381029393249e-08,1.99682134015773e-07,0,0,6.25058249011839e-08,0,0,-7.21544451849891e-08,0,0,0,0,-6.41000572646596e-09,0,0,0
"race_1",4.9794525719968e-08,1.81421215492252e-08,-6.52452639820435e-07,2.29835872546674e-06,-3.0175939997561e-08,0,7.67406141623672e-07,0,6.04168609419907e-08,0,1.03604784215414e-07,-8.43337345294466e-08,0,0,0,0,0,0,-1.41499837067613e-09,2.89171025330408e-09,0,5.44084857275359e-08,8.23212866688772e-07,2.78904195249986e-07,7.70226768429887e-08,2.06987612757183e-07,0,1.77821905321238e-07,-1.6683878059774e-07,1.07225750913162e-07,2.3166354032127e-07,4.16776838197473e-08,8.78262055350256e-08,1.95448328620304e-08,0,0,0,0,0,0,0,8.43974164066057e-07,-1.31904976146476e-08,0,0,2.57032135379581e-07,0,0,0,3.79947995893943e-08,9.2193834095421e-08
"race_2",1.4680643245579e-08,2.94056328342609e-08,0,5.42067953924608e-08,0,0,0,0,9.08551187523686e-08,8.64291044514335e-08,0,0,0,1.89727808086723e-07,1.2899623847632e-07,1.77011874349859e-07,8.41633401639982e-08,1.89126891937564e-09,0,0,5.6909536298086e-08,2.08030994162139e-08,4.40345474468868e-08,4.3791556150984e-08,1.13621399704738e-07,0,7.18148162985034e-08,0,0,0,2.68512925060662e-08,0,0,0,0,0,1.62034190170581e-08,-9.6832766339037e-09,0,7.54358124838297e-08,5.27549442172093e-09,0,0,9.47588614174588e-08,0,5.211511497152e-08,-0.000123259262601693,0,0,0,1.29418088393982e-08
"race_3",0,0,-2.81834242554219e-08,0,0,2.33679871745621e-08,0,2.70547160955299e-08,0,0,0,-4.71213813894711e-08,0,2.81767777448579e-08,0,0,4.42385678652263e-08,0,0,5.46438702071649e-08,0,0,0,0,2.50762006129255e-08,1.78365849875429e-08,4.94624256176285e-09,0,0,6.30792487900536e-08,1.53793961554951e-07,0,0,0,0,0,0,0,2.24579501588447e-08,2.90615665819146e-08,0,0,-8.82218882894567e-09,0,8.78491279436079e-09,0,0,0,4.38415583797151e-08,0,0
"race_4",0,0,-2.35888091487155e-08,0,-7.81577085822794e-08,3.42207195201346e-08,1.13824502200519e-07,0,0,7.69841869152632e-09,0,0,2.06318553927787e-07,7.21707055945077e-07,0,0,4.38911046596897e-07,2.52612625206375e-08,-6.55923185337418e-08,4.19283140102741e-08,0,0,8.54586018736431e-09,0,0,0,1.15909383489079e-08,0,0,0,0,0,0,8.89038169520993e-08,4.34244083288715e-08,1.06758010472983e-08,1.60906225965577e-10,-2.9299224218682e-09,1.51420595066162e-07,2.59226621299617e-08,1.35237086292036e-08,1.29468472867696e-07,0,2.17913751127611e-08,2.36121435014654e-08,0,0,-1.13437386822698e-07,8.55306431719166e-08,0,0
