"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"DR1TNUMF",-1.13023718318603e-07,0,9.43905384023238e-07,0,-1.10247135734617e-06,6.43956537988777e-07,-1.94063254009174e-07,0,0,-5.19615304922768e-07,-1.68386790754921e-07,0,0,9.03047913721235e-07,1.17714651640154e-06,1.86617353093467e-08,0,-9.40631169014413e-07,-4.47182614376436e-07,-3.24727533476648e-07,0,0,-2.37520518884289e-08,4.57984627292427e-07,1.4661221167552e-07,0,0,0,4.62832169166801e-07,0,0,0,-8.38900512792235e-10,7.64475955714664e-08,-1.00793044672762e-08,0,1.16001364127272e-08,7.9897807259112e-08,6.3406268356475e-07,0,-2.26919093830666e-07,-4.85291728936516e-07,-2.66774784678987e-08,0,0,0,0,0,4.54609032263766e-07,1.88074291190339e-07,-1.74647528961626e-07
"DR1TKCAL",-1.12415874097698e-09,-5.12443178970395e-07,0,-1.27602498016731e-07,2.51711874210894e-07,0,-2.08497563817489e-07,0,0,-2.71713807764914e-08,0,0,0,0,2.25153674391049e-07,5.98726384382639e-09,1.87133950056356e-08,0,-1.09258759066652e-07,0,0.00118134898002956,0,1.02246285747704e-07,3.77747937173999e-08,0,0,0,0,0,0,0,0,0,-9.12331693743955e-08,2.29235245796775e-07,0,0,0,0,0,4.76085756233037e-08,0,-1.01769065658389e-07,0,0,-2.66593633397285e-07,0,-1.49690718450476e-06,0,-4.0379117843615e-09,0
"DR1TPROT",0,-2.53636851392465e-07,1.139944775349e-07,-4.18130334453538e-09,3.75656796598656e-07,0,-1.77393987044453e-07,-8.6637538823662e-08,-2.76040552741169e-07,-3.2140118669833e-07,0,0,0,2.63267207227963e-08,1.94922361214598e-07,-1.95696061366646e-08,1.95223168967999e-07,0,0,-2.338248793555e-07,0.000911056229644214,-4.41222438610358e-08,6.59779638931483e-08,0,0,0,0,5.37497707864593e-08,2.44321091197858e-08,2.23576175085422e-07,3.45347525168721e-10,0,-3.50462266488399e-08,0,0,1.25374447049713e-07,-4.00292270375843e-08,-1.21312673388977e-07,0,0,0,0,0,1.64134525993718e-07,2.11857902890984e-08,0,0,-1.39528498031935e-06,0,-7.13002075075827e-08,0
"DR1TCARB",0,-1.00430302487447e-07,0,-2.06624918817238e-07,0,0,0,0,0,-6.09464041224736e-08,0,0,7.95307352174095e-10,0,0,1.56470499359084e-07,0,0,-5.7012628510693e-08,0,0.0102286977310949,2.04751272946094e-07,2.10976977421642e-07,2.92447682070458e-09,0,0,0,0,0,0,3.79146202757546e-08,5.41268214594535e-08,-1.04666894037517e-07,-1.21599460564455e-08,9.3854625077293e-08,0,-7.81213992593888e-08,0,0,0,1.14541422021033e-07,0,0,0,-2.58889109622929e-07,-1.37303983772824e-07,2.64221120877485e-08,-9.99827907895744e-07,2.99028408796213e-08,0,0
"DR1TSUGR",0,0,0,-6.86934569587983e-09,0,0,0,0,0,0,0,1.83969797795203e-07,0,0,0,3.33920582177769e-07,-1.5798703286242e-09,0,0,0,0.0116100414432582,2.84530434943039e-07,2.85800918655713e-07,6.87205435409319e-08,3.05066866106022e-07,-8.44440944460306e-09,-1.89103538539567e-07,0,-5.16809835747214e-08,0,0,0,-1.07544733114133e-07,0,2.91384356265068e-07,-1.18354921458935e-07,0,0,4.2547371337478e-07,0,6.82884383201484e-08,0,0,0,-2.79688575775628e-07,-1.63515338617199e-07,5.96892818923939e-08,0,0,0,-2.05601736372513e-07
"DR1TFIBE",-2.65461999862999e-07,0,1.2356820761437e-06,-1.67723391351388e-07,-1.87702605182595e-07,0,-6.53380138286761e-08,0,-6.56859247676086e-07,-8.58479134797453e-07,0,-2.10961838975923e-07,1.16144012142412e-07,0,1.94458551724848e-07,0,0,-4.50880556439169e-07,-9.51120740115602e-08,-6.59368507276103e-07,0.00367912887862226,0,0,0,-1.10466891990999e-07,0,9.02951739054536e-09,-1.3505601381612e-07,0,2.49893624134329e-07,1.0219329340396e-07,7.44589045532443e-08,-1.71053660768444e-07,1.29883405065384e-10,-2.11364287805127e-07,0,-1.74623598050728e-07,0,0,3.14156781084976e-08,-6.64252564761872e-09,-8.83468976301073e-08,0,9.14786930591687e-08,-1.63659693606208e-08,0,2.2287010519498e-08,-2.89703437041111e-08,3.85509371575795e-07,1.06847890958721e-07,0
"DR1TTFAT",0,-3.46184854948777e-07,0,-3.64943228098104e-08,3.17514898211231e-07,1.36409512849161e-07,-3.14598480188812e-07,-2.50309229765579e-07,0,0,0,1.92197091788912e-07,0,0,2.41114007934838e-07,0,2.24212116472686e-08,0,-9.84048202463525e-09,0,-0.00265965477241857,0,0,0,9.35342469066372e-08,-3.2422473004514e-08,-2.79927579676407e-07,0,-1.44140379293592e-08,1.11917588797665e-07,-7.06389391709218e-08,-5.40538326289241e-08,7.96812268667597e-08,-1.35022599114053e-07,1.25999393642858e-07,0,0,0,2.87621966017192e-07,1.46448681803569e-07,0,3.79334683646345e-08,-1.91578145685793e-07,0,0,-7.31393157075723e-08,0,-8.98315800361769e-07,0,-8.71214339440937e-08,-1.35859288512186e-07
"DR1TSFAT",0,-1.70568288416969e-07,0,0,2.83441495847537e-07,3.49449534466946e-07,-8.71544776646562e-08,-1.49422900215182e-07,0,0,0,4.76976017294935e-07,-6.5162446543468e-08,0,7.31347877007118e-08,1.44017563776142e-07,0,0,0,0,0,0,1.23168530172882e-08,0,5.91305058812914e-08,-1.11822892419601e-07,-5.22879322186855e-07,0,-3.05368242737517e-07,7.54621412578252e-08,-5.51377126904898e-08,-2.40510079125091e-07,0,-6.54527083994353e-08,1.60585204643446e-07,0,6.13494444037246e-09,0,1.0971703448467e-07,3.08643387950495e-07,0,2.90532939034452e-07,-3.4472565215522e-07,0,0,-8.59431478899043e-08,0,-7.55355722330055e-07,0,-1.46155318966929e-07,-5.68088319283738e-08
"DR1TMFAT",-6.73696724902363e-08,-2.2930155648464e-07,0,-9.88151549543315e-08,3.28719632136474e-07,0,-3.63500816543059e-07,-2.19968023869497e-07,0,0,0,7.28117634441104e-08,0,0,1.87074165562324e-07,1.11698717583897e-07,4.72595116856742e-08,0,0,0,-0.00180857995798373,0,0,0,2.93343466277465e-08,0,-1.58546954850279e-07,0,0,7.2307260066713e-08,-1.13437543785291e-07,0,1.40351677254452e-07,-1.27327628997781e-07,1.4818701135524e-07,0,0,0,3.32433148622625e-07,1.06841777260641e-07,0,0,-1.66016137119733e-07,0,0,0,0,-9.74037423191591e-07,0,-9.19683506251522e-08,-1.69011433022201e-07
"DR1TPFAT",-3.46528937519003e-08,-4.63363673087845e-07,0,-7.15870915445389e-08,2.67301377901663e-07,0,-2.51479046939546e-07,-1.8728086135194e-07,0,0,0,0,0,0,1.875476106237e-07,0,1.42460757993511e-07,0,-1.18807053516603e-07,0,-0.00600547778876561,-5.40416326731126e-09,0,1.24922447104995e-07,1.02265431072893e-07,0,-5.82351161233723e-09,0,0,1.35155899760712e-07,-1.17419172587133e-07,0,1.09074223814791e-07,-1.73551196018917e-07,0,8.58566582509174e-08,0,-8.28963844739624e-08,2.96479649819226e-07,0,5.66112021468785e-08,0,0,0,1.11415593448295e-08,-9.03219651568476e-08,0,-3.66014655668415e-07,0,0,-1.68458544234954e-07
"DR1TCHOL",0,-1.24155969982928e-07,0,0,4.71218241680916e-07,0,-3.08000892934542e-07,-1.70414476966722e-07,0,0,6.02452833803073e-09,2.30629686249155e-08,0,0,0,2.47185931202178e-09,0,1.08654897845368e-07,0,0,9.783397159903e-06,-2.1403903267227e-07,0,6.27362433170243e-08,0,1.09374892894711e-07,-3.08925301025619e-08,1.55865206204657e-07,0,3.16517554621663e-07,0,-2.73597880874328e-07,0,-2.82360222060079e-08,0,3.34565139992828e-07,-4.39363304725643e-08,0,0,1.01197741435604e-07,0,0,0,0,2.28958997477806e-07,0,0,-7.24463904775343e-07,0,-4.89308899982585e-08,-1.00391029057269e-07
"DR1TATOC",-1.92206713233077e-07,-8.29675584597382e-08,1.57281254344677e-07,-1.14322973902251e-07,0,1.62912803368297e-07,-2.49296048174528e-07,0,-1.39489118198949e-07,-3.39368461600252e-07,0,0,0,1.37065859102371e-07,5.51230980828726e-07,4.63636773560399e-08,0,-2.724120525609e-07,-2.03924362532692e-07,0,-0.00169991971379305,0,0,1.4767479278769e-07,4.41268294666305e-08,-1.17474957909175e-07,0,-9.36256224681062e-08,0,0,-5.5630084601013e-08,1.04545065075899e-07,0,-1.75406657245647e-07,-2.60236886833358e-08,-3.65926921146475e-08,1.93803658568964e-07,-1.3948792868476e-07,3.37713526129787e-07,0,0,0,0,2.49603989034878e-07,0,-1.66136380152173e-08,9.03440673515918e-09,-1.53093953061767e-07,0,-1.74332143900477e-07,0
"DR1TATOA",-4.17072270813503e-08,0,0,0,-1.57772959192185e-07,1.55170079009331e-09,0,0,0,0,-6.54996021357158e-08,0,-5.87891953471869e-08,0,0,0,0,0,0,0,-0.000563753390184985,0,0,0,9.06688738835905e-08,0,0,0,0,0,-2.12574126735556e-07,1.40154408587137e-08,3.21444504472646e-09,-2.54572196494257e-08,-2.99384033449966e-08,-8.074986497761e-08,4.5487546414234e-07,0,0,5.01559606523315e-08,0,0,0,1.04553764420811e-07,0,-5.24082877445979e-08,2.74650271250154e-07,0,0,-2.88265906087818e-07,0
"DR1TRET",-2.40475341122412e-07,0,8.08503449868011e-09,0,-2.48905944219017e-07,9.05380106208197e-07,0,-8.4125211472085e-09,3.38026298649698e-07,0,1.28313902299289e-07,3.83876485179376e-07,0,2.0803716989383e-07,0,1.32859956438853e-07,-9.70024782202947e-08,0,-2.7276734223771e-07,-5.94527275649002e-08,0,0,0,7.74070392931503e-08,1.04760587310966e-07,4.6009886983235e-08,-5.26006134281707e-07,2.53374646044343e-07,0,2.11790771464247e-07,-1.81831590129131e-07,-2.23179660400356e-07,1.46452879164798e-07,0,-2.55074453699282e-07,0,-9.57814079983735e-08,9.40313532488871e-08,0,8.18758239586315e-08,-2.56985698305083e-07,0,1.70935849013117e-07,0,-1.95412070346067e-08,-1.18865294670089e-07,2.45851825651546e-08,0,6.01112893055325e-08,0,-1.85964943998737e-07
"DR1TVARA",-2.16831226437081e-07,0,0,0,-3.52411380571384e-07,9.34788748928996e-08,0,0,0,-9.32554249131413e-08,1.08083003943083e-07,0,8.03883774910764e-08,5.95314010332964e-08,0,0,-2.40761014236485e-08,-1.80793922134142e-07,-3.43864913820203e-07,-2.72499228850515e-07,0.00085134017103107,0,8.99343714849038e-08,6.8339548936476e-08,3.14032559851386e-08,0,0,3.55291322382799e-09,0,2.37720062621274e-07,0,0,0,0,0,5.31247695661975e-08,-7.39957403493413e-08,2.95520278696587e-08,7.13459219281857e-09,0,-3.21311977141751e-07,-2.64379530018538e-08,4.22817007008395e-07,0,0,-1.43130811047228e-07,0,0,4.54949952258963e-07,0,-5.85285743550421e-08
"DR1TACAR",0,0,5.30232479409926e-07,8.66891999466431e-08,-1.80472197658288e-07,0,0,0,-1.98805579678641e-07,-4.56718399103738e-07,-2.49857325785494e-07,-3.30875826037632e-07,4.64400646275951e-08,1.60658206121711e-07,0,0,9.32292073829476e-08,-3.3657687500553e-07,0,-3.18902323946558e-07,0,0,7.60463259232649e-08,0,0,0,3.31601119036965e-07,-1.21591925285475e-07,1.23272685502831e-07,0,0,3.69853439992781e-08,0,0,9.11388149179885e-08,0,0,0,0,0,0,0,5.50469459293708e-08,6.55301472622552e-08,0,0,-1.62957522895618e-07,0,4.91825586716038e-07,1.3038224858102e-07,-1.12252801919374e-07
"DR1TBCAR",0,0,0,0,0,0,-3.0397806238708e-08,0,-2.64468104606617e-07,-5.93978251772637e-07,0,-2.87670865855178e-07,4.08214215042421e-07,3.23761453835167e-07,0,0,0,-4.9930283474588e-07,-1.62989366967931e-07,-2.41889771344512e-07,0,-9.43333502412987e-08,0,0,0,-1.19960330812438e-08,3.4223856790117e-07,-2.0000052665375e-07,4.21985782414194e-07,0,2.04292707728365e-08,0,-5.58668151722538e-08,4.10040228669997e-08,5.11400245798931e-08,2.80616143992215e-07,0,0,1.91245364680372e-07,0,-1.76580492499318e-07,-3.04303871761801e-07,1.41941803180588e-07,1.39791544489211e-07,0,0,-5.93484031072762e-08,0,6.39873985243226e-07,0,0
"DR1TCRYP",-3.45663330746953e-07,0,3.10745655338039e-07,0,-3.33356116037974e-07,0,0,0,-6.78453904993432e-08,-4.48648654752915e-08,1.59688195732084e-07,-7.73793169090416e-08,0,2.07576801307191e-07,0,1.46219296753641e-07,-2.5652842906041e-07,-3.4253795467519e-07,0,-5.70437427705569e-08,-0.000130465093163108,0,4.84315258954185e-09,2.27785234942253e-07,0,0,7.44232826741019e-08,-3.09396525362361e-08,7.93084388855338e-08,0,0,0,-7.33158094621843e-08,0,0,0,-4.49302994077182e-09,-1.71713987684724e-08,0,0,-1.49389270783301e-07,-2.26452122127591e-08,2.32836740680969e-08,0,1.96662257558566e-08,0,0,0,0,1.75079534880465e-07,2.94470501402847e-08
"DR1TLYCO",-5.76929621969755e-10,0,7.39930329300563e-07,0,0,0,-1.04990324380574e-07,0,0,0,0,0,3.15846686737987e-09,0,2.90550375640398e-07,0,0,-2.72132786015723e-08,0,-1.46369933476632e-07,0,0,0,0,1.34877179540362e-07,-2.54936970968888e-07,0,-3.38882182115875e-07,0,0,-1.06375535373002e-07,-8.97084663413772e-08,1.39442512468401e-07,0,0,-8.89073476357092e-08,-3.86949944590226e-08,0,-8.11087842931897e-08,0,-9.80331316428993e-08,0,-3.37050255335213e-08,1.4660800163986e-07,0,0,-1.20471102913325e-07,0,0,0,0
"DR1TLZ",0,0,0,0,0,0,0,0,-2.43301106525465e-07,-3.81319393120626e-07,0,-1.72978621333665e-07,9.91678922341558e-09,2.42134463744593e-07,1.68676606310097e-07,0,0,-4.17920442628083e-07,-2.26303205717059e-07,-2.67076934173318e-07,0,-9.87688437797902e-08,0,9.1425874926424e-08,0,0,1.81859744976495e-08,-9.77644314620006e-08,2.94699515121168e-07,0,0,0,0,0,0,3.04665249487345e-07,0,-3.30728955777112e-08,5.9006515542625e-07,0,-9.84172985438316e-08,-2.37397940550492e-07,7.93984244056607e-08,0,6.38100195439633e-09,0,0,0,3.7839441687979e-07,0,0
"DR1TVB1",-1.45245617292199e-07,-1.07085108451794e-07,0,-2.87766083027262e-08,0,3.40964812888928e-07,0,0,-1.14068394095467e-07,-2.98309858551692e-07,-6.9610717842661e-08,0,1.70081612097134e-08,0,0,1.84126436078922e-08,7.71211776764225e-08,0,0,0,0.00112421284694762,0,1.52386887525821e-07,6.03088079828771e-09,9.73815819514613e-08,5.08140437007795e-08,0,8.22092951080529e-08,0,4.26925991276715e-08,0,0,0,0,0,0,-7.0361527366991e-09,5.00182855633136e-09,0,6.7133555237689e-08,-1.79496235945377e-07,0,0,4.78622195122771e-08,0,0,0,-1.01747386432046e-06,0,0,-1.70653340933258e-07
"DR1TVB2",-8.14464576960734e-08,-1.85464289949744e-07,2.2325982755234e-07,-1.73754408585938e-08,0,1.26259793212244e-06,0,-4.97122312958747e-08,5.91809069928019e-08,-1.76339069413447e-08,9.8076128919211e-08,1.05602455426396e-07,0,6.44792277406798e-07,1.8076389534664e-07,0,0,0,0,-2.11400347926072e-07,0.0015556586416406,0,2.54660209612358e-07,1.23247558652352e-07,0,5.51604725790681e-08,-2.28624242688369e-07,1.65400692533201e-07,0,1.00640391447517e-07,0,0,-6.64230052955589e-08,3.96403799531561e-08,0,0,0,0,-3.68289636245143e-08,2.70177221049082e-07,-9.59700778537174e-08,0,2.61811355565249e-07,8.03669336135363e-08,0,-1.00806112916426e-07,1.77253445278877e-07,-6.9998911295363e-07,0,0,-1.74669683736542e-07
"DR1TNIAC",0,-1.6688973063491e-07,0,-1.20029986850658e-07,1.23321599366002e-07,0,-2.10185074860353e-07,-1.52970535561645e-07,-2.20819805791448e-07,-2.68905363759781e-07,-7.6227111823008e-08,0,0,0,1.32830546098276e-07,0,1.79758841472868e-07,0,-3.28988363070684e-08,0,0,0,6.53608723639818e-08,0,0,2.9745952002387e-08,0,1.89940150690411e-07,0,0,0,1.72313503543406e-08,0,0,0,0,0,0,0,0,0,-1.20055968587442e-08,0,2.08598049911022e-07,0,0,2.31016276722453e-09,-1.51464321349693e-06,0,-1.22772356375742e-07,-1.92442198495854e-08
"DR1TVB6",0,0,0,-4.30025502211273e-08,0,0,0,0,-3.44543127778276e-07,-3.88726067577855e-07,-1.06744042911531e-07,0,0,0,4.6095152402678e-09,5.13294776355295e-08,1.54174876084045e-08,-1.05172758918555e-07,-3.18213067372011e-07,0,0,-2.53533088441746e-08,8.13339350062683e-08,0,0,0,0,0,6.28490095370363e-08,0,0,0,0,0,0,0,0,0,0,0,-7.66541384905422e-08,-1.76898677867194e-07,0,5.317027538428e-08,0,0,3.94401738489403e-10,-8.43377816613244e-07,2.65085907277401e-08,0,-4.25958346079013e-08
"DR1TFOLA",-2.44506541924971e-07,0,7.52383969060637e-07,-3.23160550136846e-07,0,2.97913807245437e-07,-1.35903063912512e-08,0,-5.86999420574832e-08,-2.84226603226587e-07,-1.5785397142398e-07,-2.17035630974239e-07,1.93162204381757e-07,0,1.87248385373249e-07,-3.94078264365045e-08,1.18047094759819e-07,-3.01504538555791e-08,0,-3.42984366747936e-07,0.000501466193335542,0,9.29375799581183e-08,8.28883163744647e-08,0,0,4.08434302597594e-08,0,0,0,0,0,0,-6.0599923657935e-08,-7.67859098970682e-08,0,0,0,0,6.07275912611072e-08,-4.08363579433236e-08,-3.11342625252976e-08,0,2.81536236840679e-07,-5.39350116985786e-08,-6.06730388797885e-08,2.07895451509179e-07,-3.49184287293809e-07,7.70347344984636e-08,0,0
