"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"DR1TPHOS",-8.82014557375717e-08,-3.97789021455089e-07,3.49223458184176e-07,0,0,1.54632872249047e-07,-4.20031137958475e-09,-1.30693966486291e-07,-1.44734211324396e-07,-2.67687705685712e-07,0,0,0,0,2.28166892248814e-07,0,0,-2.59224990755635e-08,-1.24076808384729e-07,-2.50885528749422e-07,0.00288373369890655,0,0,2.66122057675498e-08,0,0,0,0,0,1.07558152384339e-07,0,0,0,0,0,0,-1.25432446859731e-07,-1.68257502513226e-08,0,0,0,0,0,7.26979083218541e-08,0,-1.28936169829446e-07,7.87784189387671e-08,-1.05851770859453e-06,0,0,0
"DR1TMAGN",-2.59928143396867e-07,-2.97182201113795e-07,6.59387342412542e-07,-2.17490751500132e-07,0,0,0,0,-6.6328945019508e-07,-8.11473596787336e-07,0,0,0,4.08529619795721e-08,3.72490565438304e-07,0,0,-3.19657844634881e-07,-2.88028766271139e-07,-3.20378447580812e-07,0.00227081919877121,0,0,7.09845674382313e-08,0,-1.13634651267329e-07,0,-1.08522274371526e-07,3.08994762208061e-07,0,5.37586487988052e-08,2.58510655339207e-07,-1.35165858896093e-07,0,0,0,-3.14657270366969e-08,-5.31840289477419e-08,0,0,0,-4.12874904944707e-07,3.47834839638711e-09,1.85862732211496e-07,0,-8.64199110000907e-08,1.78348139324608e-07,-7.06241905752413e-07,1.16975311674421e-07,0,0
"DR1TIRON",-6.42834023838557e-08,-1.06467155475538e-07,0,-1.67134754081041e-07,0,1.02840490008997e-07,-8.09192394395068e-08,-1.34203641141148e-08,0,-4.2988691705251e-08,0,0,1.21462383470174e-07,0,0,0,0,-1.89353304605006e-08,-1.22142529276736e-08,0,0.000582098637590501,0,0,0,0,0,0,0,0,7.68575743219348e-08,0,0,0,-3.915737214266e-08,-8.22937493568005e-08,0,-3.853970714953e-08,8.52754259722247e-08,0,9.06056587699093e-08,0,0,0,1.20477820796323e-07,-1.94844534064573e-07,0,8.84464717178896e-09,-9.74799089792763e-07,0,0,-1.17573309675094e-07
"DR1TZINC",0,0,0,-1.53296538901329e-07,0,3.05664277790867e-07,-3.4687980835904e-08,0,-8.32105017822784e-08,-2.49729383429992e-07,0,0,0,0,1.56569471315349e-07,0,0,0,-1.07279814471097e-08,0,0,0,0,0,5.27489260058353e-08,0,0,0,0,0,0,-1.42383263065028e-08,0,2.40360253229089e-08,0,-1.0485656402743e-07,0,0,0,1.18787848537593e-07,0,0,-2.27774085071262e-08,2.467560631755e-07,0,0,6.11543301188452e-08,-1.15128287080604e-06,0,-6.39985305861907e-08,0
"DR1TCOPP",-1.15000305339861e-07,-5.74215773709628e-08,5.89275181417968e-07,-2.15847569904226e-07,0,0,0,0,-6.2501971879152e-07,-6.42421093104171e-07,0,-3.60992016317862e-07,0,1.51693075395851e-07,4.21333019095556e-07,0,0,-2.86750188317359e-07,-1.39237469661023e-07,-2.10012789276151e-07,0.00238476691281562,0,-1.38228947287104e-08,1.17695379861163e-07,0,4.73577584544631e-08,2.72608750124162e-07,0,4.04866006554801e-07,0,2.0947209346046e-08,1.39430276575138e-07,-1.23296341282486e-07,0,-2.0820991408843e-07,0,0,0,1.99613173011485e-07,0,0,-3.93467184528991e-07,0,1.77425219394731e-07,0,0,0,-4.09707729099316e-07,2.11433669752298e-08,0,0
"DR1TSODI",-1.46243561361288e-07,-4.75172386251878e-07,0,-5.53890635601725e-08,5.44384289669889e-07,0,-3.70202275418189e-07,-6.27938955901116e-08,-7.16523253278998e-08,-1.06832673905706e-07,0,-6.40307423950885e-08,0,0,0,-4.34557762473031e-08,2.51831859672161e-08,0,0,-1.10031357109427e-07,0.00254533908344136,-6.72249243847204e-09,0,1.00020563718623e-07,0,0,6.84132717080365e-08,0,0,2.50978820823686e-07,0,-6.18017660281565e-08,-1.05655962313972e-07,0,0,2.10831253761425e-07,-2.49525119030175e-07,-7.95185595269799e-08,0,0,0,0,0,0,0,0,0,-1.25401595250379e-06,0,-8.1636756452869e-08,0
"DR1TPOTA",-2.93342217094435e-07,-1.89778136204595e-07,4.77345549631809e-07,-1.94587642980121e-07,0,4.71342715916115e-07,-7.57769882153035e-08,-2.12546827189998e-08,-2.16562706340534e-07,-5.64129068396875e-07,-2.7921279587545e-09,0,0,3.14340324760696e-07,3.81436864073165e-07,0,0,-2.09611943522525e-07,-8.87027788429334e-08,-4.55309448497247e-07,0,-1.67474918224058e-08,0,1.5735883052724e-07,0,-8.8054158369131e-08,0,-1.04926998902965e-07,1.15851271711797e-07,0,2.80222520912835e-08,7.14423313535923e-09,-1.63911855936329e-07,7.57899026612603e-08,0,0,-1.03620515278532e-07,0,0,3.45474780937795e-09,0,-1.30182479997117e-07,0,1.16497402405197e-07,0,-1.53544987665087e-07,0,-8.27048748871233e-07,1.19735513554497e-07,0,0
"DR1TSELE",0,-1.6503279021908e-07,6.58003272878498e-08,0,3.91090402917565e-07,0,-2.14678623449361e-07,-2.33070239635767e-08,-3.49220873213685e-07,-4.49699822166261e-07,0,0,0,2.57342669007085e-07,1.03277531326744e-07,0,1.2120339149521e-07,0,0,-2.00035828361135e-07,0,0,0,3.76698371385495e-08,3.48136256333846e-08,1.76246894438577e-08,0,6.3317744335745e-08,3.77697589720247e-07,1.0239493191096e-07,0,0,-8.48477641919147e-08,0,0,2.26441821858913e-07,0,-7.69845955637469e-08,0,0,0,-2.13427017321776e-07,-1.79231722897466e-08,2.54005499945644e-08,0,-3.73926230868136e-08,0,-1.2055688459724e-06,1.89839532418125e-11,-1.34718965465473e-07,0
"DR1TCAFF",-1.58687579496324e-07,-1.00944244797237e-08,7.18711760246405e-07,0,1.52862217058129e-07,1.56601313194025e-06,0,-1.05357508074332e-07,3.52473110591768e-07,0,2.87337472959349e-07,0,0,8.95476254911066e-07,3.55434594351858e-07,-1.42967001275914e-07,0,6.92856923714533e-07,2.56657385831584e-07,-4.02268913044353e-07,0,0,2.00290753482146e-07,0,-2.50330891682744e-08,0,0,0,-1.07794693255495e-07,0,0,-1.27530060968038e-08,0,1.70499683712096e-08,0,0,0,-1.8535374973227e-08,-5.96526325477775e-07,1.79927906409844e-07,0,3.11867688361907e-07,3.33669323385538e-07,8.09739140960462e-08,9.94895860342545e-08,-8.83781151776992e-09,0,0,-1.47317775131353e-07,0,-1.36129438483757e-07
"DR1TTHEO",1.48327812891676e-07,0,0,0,0,2.06453708787063e-07,0,0,0,0,1.19213101415515e-07,0,-1.35327354091135e-07,0,0,0,0,0,-2.68349804053195e-08,2.61401083332187e-08,-1.80609522091206e-05,2.7389262091566e-07,2.27150913489614e-07,0,3.41979711427425e-07,-1.90898941211107e-08,0,-3.91983214155751e-08,0,9.25792053101641e-08,0,0,0,0,-7.91117230333817e-08,0,1.56855422385812e-07,0,2.54850150822865e-07,0,2.86088378815008e-07,0,1.19985987946961e-07,0,-3.1930651938507e-07,0,5.69490906413798e-08,0,7.99461082308115e-08,0,-1.76722646098517e-07
